Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|1,579,313,672 |101           |8,908,427,547 |667 |Asia Ex-Japan
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|1,538,735,215 |197           |11,785,347,992 |1,628           |Europe
UNITED MEXICAN STATES|GOVERNMENT|SOV|1,499,238,691 |184           |6,521,751,899 |751 |Americas
REPUBLIC OF TURKEY|GOVERNMENT|SOV|1,411,540,086 |213           |7,521,563,000 |1,503           |Europe
RUSSIAN FEDERATION|GOVERNMENT|SOV|1,204,728,431 |191           |14,128,835,841 |2,578           |Europe
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|1,058,524,615 |129           |6,713,998,000 |1,102           |Asia Ex-Japan
REPUBLIC OF ITALY|GOVERNMENT|SOV|813,155,821 |59 |6,500,464,729 |404 |Europe
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|782,313,197 |152           |6,585,465,630 |1,203           |Americas
REPUBLIC OF KOREA|GOVERNMENT|SOV|664,534,923 |39 |3,240,138,000 |329 |Asia Ex-Japan
REPUBLIC OF CHILE|GOVERNMENT|SOV|596,912,378 |81 |2,632,267,442 |505 |Americas
REPUBLIC OF PERU|GOVERNMENT|SOV|372,112,310 |56 |1,417,995,000 |197 |Americas
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|354,204,950 |48 |2,052,875,000 |399 |Europe
MALAYSIA|GOVERNMENT|SOV|320,944,577 |33 |1,992,440,000 |312 |Asia Ex-Japan
REPUBLIC OF THE           PHILIPPINES|GOVERNMENT|SOV|320,222,914 |46 |1,618,702,940 |285 |Asia Ex-Japan
AT&T INC.|TELECOMMUNICATIONS SERVICES           |CORP|240,117,371 |41 |1,225,452,439 |255 |Americas
INTESA SANPAOLO SPA|FINANCIALS|CORP|239,074,187 |28 |1,569,691,321 |227 |Europe
DEUTSCHE BANK           AKTIENGESELLSCHAFT|FINANCIALS|CORP|239,023,174 |28 |1,186,922,553 |185 |Europe
UNICREDIT, SOCIETA PER           AZIONI|FINANCIALS|CORP|237,673,228 |33 |1,526,381,829 |263 |Europe
BNP PARIBAS|FINANCIALS|CORP|226,937,988 |23 |1,562,831,908 |214 |Europe
HSBC HOLDINGS PLC|FINANCIALS|CORP|225,207,923 |27 |950,707,800 |168 |Europe
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|216,807,123 |38 |1,170,205,839 |245 |Europe
SOCIETE GENERALE|FINANCIALS|CORP|210,908,856 |27 |1,324,051,796 |208 |Europe
FRENCH REPUBLIC|GOVERNMENT|SOV|208,533,513 |17 |953,709,840 |35 |Europe
BARCLAYS PLC|FINANCIALS|CORP|197,966,300 |25 |596,909,281 |132 |Europe
ELECTRICITE DE FRANCE|UTILITIES|CORP|194,177,747 |22 |2,350,711,390 |286 |Europe
SOFTBANK GROUP CORP.|TELECOMMUNICATIONS SERVICES           |CORP|192,785,594 |35 |1,186,505,616 |236 |Japan
THE BOEING COMPANY|INDUSTRIALS|CORP|192,472,222 |53 |738,315,000 |322 |Americas
BARCLAYS BANK PLC|FINANCIALS|CORP|192,345,689 |15 |1,220,901,122 |73 |Europe
BRITISH TELECOMMUNICATIONS           PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES           |CORP|188,691,102 |40 |514,894,071 |128 |Europe
VOLKSWAGEN           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|187,995,868 |25 |1,136,609,112 |188 |Europe
BANCO SANTANDER, S.A.|FINANCIALS|CORP|176,607,059 |25 |683,692,982 |123 |Europe
THE GOLDMAN SACHS GROUP,           INC.|FINANCIALS|CORP|172,219,992 |22 |622,586,185 |106 |Americas
BANK OF AMERICA           CORPORATION|FINANCIALS|CORP|168,699,763 |23 |776,260,000 |88 |Americas
STANDARD CHARTERED PLC|FINANCIALS|CORP|166,582,559 |24 |955,372,090 |161 |Europe
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|152,903,948 |34 |1,357,510,000 |327 |Americas
BANCO BILBAO VIZCAYA           ARGENTARIA, SOCIEDAD ANONIMA|FINANCIALS|CORP|152,758,829 |21 |379,139,976 |65 |Europe
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|145,515,860 |14 |1,373,186,992 |125 |Europe
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES           |CORP|145,414,814 |30 |454,796,817 |118 |Europe
VERIZON COMMUNICATIONS           INC.|TELECOMMUNICATIONS SERVICES           |CORP|144,579,942 |31 |1,020,588,289 |165 |Americas
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|144,171,789 |21 |999,817,257 |160 |Europe
COMMERZBANK           AKTIENGESELLSCHAFT|FINANCIALS|CORP|138,901,375 |21 |795,691,857 |140 |Europe
THYSSENKRUPP AG|BASIC MATERIALS|CORP|137,774,848 |31 |758,733,060 |162 |Europe
GENERAL ELECTRIC COMPANY|INDUSTRIALS|CORP|137,613,448 |41 |604,845,000 |161 |Americas
MEDIOBANCA BANCA DI           CREDITO FINANZIARIO SOCIETA PER AZIONI           |FINANCIALS|CORP|135,372,741 |22 |564,225,165 |133 |Europe
ASSICURAZIONI GENERALI -           SOCIETA PER AZIONI|FINANCIALS|CORP|133,609,589 |26 |534,141,672 |126 |Europe
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|132,483,064 |30 |844,005,360 |162 |Europe
ALTICE FRANCE|CONSUMER SERVICES|CORP|128,969,548 |35 |1,006,411,699 |255 |Europe
JPMORGAN CHASE & CO.|FINANCIALS|CORP|128,193,271 |17 |569,818,316 |91 |Americas
STELLANTIS N.V.|CONSUMER GOODS|CORP|125,043,710 |38 |730,137,264 |196 |Europe
NATWEST GROUP PLC|FINANCIALS|CORP|123,827,758 |16 |465,646,542 |91 |Europe
DEUTSCHE LUFTHANSA           AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|123,402,746 |33 |934,998,027 |236 |Europe
CREDIT AGRICOLE SA|FINANCIALS|CORP|122,786,837 |20 |750,500,225 |148 |Europe
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES           |CORP|120,704,119 |27 |602,451,475 |159 |Europe
MORGAN STANLEY|FINANCIALS|CORP|120,403,636 |18 |547,831,070 |88 |Americas
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|119,151,076 |17 |911,976,256 |133 |Europe
CITIGROUP INC.|FINANCIALS|CORP|117,698,741 |16 |427,602,193 |78 |Americas
JAGUAR LAND ROVER           AUTOMOTIVE PLC|CONSUMER GOODS|CORP|117,661,552 |41 |896,542,898 |393 |Europe
HELLENIC REPUBLIC|GOVERNMENT|SOV|117,512,215 |18 |796,212,834 |89 |Europe
DAIMLER AG|CONSUMER GOODS|CORP|115,430,696 |22 |929,676,562 |192 |Europe
ARCELORMITTAL|BASIC MATERIALS|CORP|115,199,363 |33 |504,854,468 |127 |Europe
ARGENTINE REPUBLIC|GOVERNMENT|SOV|114,237,024 |43 |1,031,507,756 |478 |Americas
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES           |CORP|113,361,933 |17 |895,014,692 |147 |Europe
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|113,189,792 |45 |593,560,200 |289 |Americas
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|113,002,892 |21 |368,220,000 |80 |Americas
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|112,807,568 |12 |364,159,008 |69 |Europe
AMERICAN AIRLINES GROUP           INC.|INDUSTRIALS|CORP|111,476,038 |58 |834,828,000 |514 |Americas
NORDSTROM, INC.|CONSUMER SERVICES|CORP|109,521,674 |35 |552,460,000 |216 |Americas
BP P.L.C.|ENERGY|CORP|109,228,924 |13 |997,615,088 |123 |Europe
ENEL S.P.A.|UTILITIES|CORP|108,049,862 |17 |579,226,222 |116 |Europe
THE GAP, INC.|CONSUMER SERVICES|CORP|107,123,037 |29 |560,600,000 |229 |Americas
VODAFONE GROUP PUBLIC           LIMITED COMPANY|TELECOMMUNICATIONS SERVICES           |CORP|106,656,720 |15 |584,896,000 |110 |Europe
AXA|FINANCIALS|CORP|106,573,011 |17 |714,910,115 |111 |Europe
KINGDOM OF SPAIN|GOVERNMENT|SOV|105,527,579 |9 |836,591,754 |63 |Europe
AIRBUS SE|INDUSTRIALS|CORP|105,208,666 |15 |422,899,048 |90 |Europe
UNIBAIL-RODAMCO-WESTFIELD           SE|FINANCIALS|CORP|105,009,452 |21 |691,370,775 |172 |Europe
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|104,071,833 |33 |805,050,350 |322 |Americas
DEVON ENERGY CORPORATION|ENERGY|CORP|103,277,725 |27 |697,566,000 |143 |Americas
TECK RESOURCES LIMITED|ENERGY|CORP|97,335,392           |25 |600,000,000 |132 |Americas
CARREFOUR|CONSUMER SERVICES|CORP|93,866,215           |18 |954,041,518 |213 |Europe
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|93,321,061           |32 |684,239,022 |245 |Europe
RENAULT|CONSUMER GOODS|CORP|90,620,370           |22 |580,839,353 |178 |Europe
ADLER REAL ESTATE           AKTIENGESELLSCHAFT|FINANCIALS|CORP|90,395,339           |42 |731,897,647 |267 |Europe
CARNIVAL CORPORATION|CONSUMER SERVICES|CORP|90,107,978           |25 |501,195,000 |156 |Americas
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|88,831,347           |19 |440,043,310 |115 |Europe
AEGON N.V.|FINANCIALS|CORP|88,829,296           |21 |326,664,793 |104 |Europe
ROYAL CARIBBEAN CRUISES           LTD.|CONSUMER SERVICES|CORP|87,911,985           |26 |593,746,000 |240 |Americas
INTERNATIONAL BUSINESS           MACHINES CORPORATION|TECHNOLOGY|CORP|87,570,046           |13 |476,150,000 |84 |Americas
METLIFE, INC.|FINANCIALS|CORP|87,090,392           |16 |400,350,000 |92 |Americas
MACY'S, INC.|CONSUMER SERVICES|CORP|86,849,231           |27 |541,865,000 |200 |Americas
