Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
AK STEEL CORPORATION|BASIC MATERIALS|CORP|                                    58,690,258 |                                               31 |                               266,187,000 |                                              132 |  Americas  
AKZO NOBEL N.V.|BASIC MATERIALS|CORP|                                    35,586,291 |                                               10 |                                 96,783,116 |                                                36 |  Europe  
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                    90,775,087 |                                               23 |                               766,662,960 |                                              228 |  Europe  
ANGLOGOLD ASHANTI LIMITED|BASIC MATERIALS|CORP|                                         230,769 |                                                 1 |                                   3,000,000 |                                                  1 |  Europe  
ARCELORMITTAL|BASIC MATERIALS|CORP|                                  174,510,854 |                                               38 |                             1,133,122,237 |                                              215 |  Europe  
ARCONIC INC.|BASIC MATERIALS|CORP|                                    26,442,827 |                                                 8 |                                 87,620,000 |                                                40 |  Americas  
ASAHI KASEI CORPORATION|BASIC MATERIALS|CORP|                                         689,346 |                                                 1 |                                              -    |                                                -    |  Japan  
ASHLAND LLC|BASIC MATERIALS|CORP|                                    10,102,231 |                                                 8 |                                 71,050,000 |                                                63 |  Americas  
BARRICK GOLD CORPORATION|BASIC MATERIALS|CORP|                                    36,523,115 |                                               13 |                               136,110,000 |                                                45 |  Americas  
BASF SE|BASIC MATERIALS|CORP|                                    62,867,526 |                                                 9 |                               357,827,920 |                                                73 |  Europe  
BHP GROUP LIMITED|BASIC MATERIALS|CORP|                                    53,762,202 |                                                 5 |                               177,300,000 |                                                40 |  Australia NZ  
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|BASIC MATERIALS|CORP|                                    20,490,385 |                                                 4 |                               151,000,000 |                                                19 |  Asia Ex-Japan  
CLARIANT AG|BASIC MATERIALS|CORP|                                    26,465,644 |                                                 8 |                                 95,018,985 |                                                46 |  Europe  
CONSTELLIUM SE|BASIC MATERIALS|CORP|                                      8,218,411 |                                                 2 |                                 48,280,351 |                                                  7 |  Europe  
DOMTAR CORPORATION|BASIC MATERIALS|CORP|                                    20,316,923 |                                                 7 |                                 42,392,000 |                                                30 |  Americas  
E. I. DU PONT DE NEMOURS AND COMPANY|BASIC MATERIALS|CORP|                                    15,402,731 |                                                 5 |                                 45,560,000 |                                                14 |  Americas  
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                    43,183,423 |                                               11 |                               123,910,000 |                                                51 |  Americas  
EVRAZ GROUP S.A.|BASIC MATERIALS|CORP|                                         615,385 |                                                 1 |                                   4,000,000 |                                                  2 |  Europe  
FREEPORT-MCMORAN INC.|BASIC MATERIALS|CORP|                                    98,219,473 |                                               28 |                               369,024,035 |                                              176 |  Americas  
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                  158,326,091 |                                               35 |                             1,395,588,561 |                                              324 |  Europe  
HUNTSMAN INTERNATIONAL LLC|BASIC MATERIALS|CORP|                                         600,000 |                                                 1 |                                   5,500,000 |                                                  3 |  Americas  
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|                                    31,519,577 |                                                 8 |                               205,936,656 |                                                54 |  Europe  
INTERNATIONAL PAPER COMPANY|BASIC MATERIALS|CORP|                                    41,840,231 |                                                 9 |                               189,340,000 |                                                55 |  Americas  
JFE HOLDINGS, INC.|BASIC MATERIALS|CORP|                                    51,171,999 |                                               11 |                               130,192,155 |                                                45 |  Japan  
K+S AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                    12,545,055 |                                                 5 |                               127,746,749 |                                                50 |  Europe  
KOBE STEEL, LTD.|BASIC MATERIALS|CORP|                                    59,769,318 |                                               17 |                               363,803,518 |                                              145 |  Japan  
KONINKLIJKE DSM N.V.|BASIC MATERIALS|CORP|                                    20,981,714 |                                                 5 |                                 72,973,851 |                                                29 |  Europe  
