Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                       3,431,707,361 |Average Number of Trades/Week                                                                    420 |Notional traded in prior 8 Weeks                                        26,304,137,136 |Contracts traded in prior 8 Weeks                                                                 3,445 |DC Region Americas           
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                                      3,289,895,477 |                                                                   429 |                                       32,820,673,403 |                                                                5,299 | Europe           |
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                                      2,521,568,037 |                                                                   336 |                                       16,761,623,894 |                                                                2,157 | Americas           |
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                                      1,877,849,090 |                                                                     83 |                                        8,093,139,089 |                                                                   529 | Europe           |
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                                      1,755,117,860 |                                                                   186 |                                       11,099,420,000 |                                                                1,489 | Europe           |
ARGENTINE REPUBLIC|GOVERNMENT|SOV|                                                      1,562,388,461 |                                                                   345 |                                        9,187,427,550 |                                                                2,515 | Americas           |
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                                      1,553,687,196 |                                                                   107 |                                        7,368,712,039 |                                                                   792 | Asia Ex-Japan           |
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                                                      1,534,347,632 |                                                                   132 |                                       14,392,949,459 |                                                                1,509 | Asia Ex-Japan           |
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                                      1,459,309,775 |                                                                   191 |                                       13,154,228,998 |                                                                1,987 | Europe           |
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                                      1,024,848,489 |                                                                   139 |                                        7,660,224,039 |                                                                1,159 | Asia Ex-Japan           |
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                                         707,493,065 |                                                                   110 |                                        4,270,842,693 |                                                                   901 | Americas           |
MALAYSIA|GOVERNMENT|SOV|                                                         662,106,612 |                                                                     69 |                                        3,352,044,900 |                                                                   605 | Asia Ex-Japan           |
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                                         520,327,526 |                                                                     80 |                                        1,898,803,012 |                                                                   400 | Europe           |
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                                         385,411,097 |                                                                     19 |                                        2,057,395,045 |                                                                   123 | Europe           |
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                                         361,721,305 |                                                                     63 |                                        2,006,664,243 |                                                                   304 | Europe           |
INTESA SANPAOLO SPA|FINANCIALS|CORP|                                                         353,011,727 |                                                                     63 |                                        1,987,154,619 |                                                                   393 | Europe           |
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                                         341,058,339 |                                                                     47 |                                        3,006,953,668 |                                                                   467 | Asia Ex-Japan           |
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                                         315,358,207 |                                                                     37 |                                        1,873,888,657 |                                                                   297 | Americas           |
BANCO BILBAO VIZCAYA ARGENTARIA,           SOCIEDAD ANONIMA|FINANCIALS|CORP|                                                         308,642,706 |                                                                     57 |                                        3,102,019,610 |                                                                   491 | Europe           |
FRENCH REPUBLIC|GOVERNMENT|SOV|                                                         299,426,652 |                                                                     13 |                                           332,800,000 |                                                                    23 | Europe           |
REPUBLIC OF PERU|GOVERNMENT|SOV|                                                         243,388,228 |                                                                     35 |                                           934,415,923 |                                                                   197 | Americas           |
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                                         238,621,207 |                                                                     55 |                                        1,210,290,052 |                                                                   301 | Europe           |
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                                         214,900,040 |                                                                     39 |                                        1,563,406,068 |                                                                   273 | Europe           |
DAIMLER AG|CONSUMER GOODS|CORP|                                                         211,358,230 |                                                                     44 |                                        1,304,363,667 |                                                                   244 | Europe           |
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|                                                         199,933,154 |                                                                     53 |                                        1,128,695,000 |                                                                   376 | Americas           |
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                                         188,355,350 |                                                                     23 |                                           887,261,959 |                                                                   154 | Europe           |
PETROLEO BRASILEIRO S/A PETROBRAS|ENERGY|CORP|                                                         186,392,541 |                                                                     36 |                                        1,186,317,000 |                                                                   267 | Americas           |
J. C. PENNEY COMPANY, INC.|CONSUMER SERVICES|CORP|                                                         179,457,233 |                                                                     84 |                                        2,046,753,000 |                                                                1,120 | Americas           |
GENERAL ELECTRIC COMPANY|INDUSTRIALS|CORP|                                                         178,470,451 |                                                                     32 |                                           692,549,386 |                                                                   152 | Americas           |
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                                         165,894,353 |                                                                     35 |                                        1,139,410,767 |                                                                   255 | Europe           |
STATE OF QATAR|GOVERNMENT|SOV|                                                         157,745,096 |                                                                     18 |                                           554,099,727 |                                                                    94 | Europe           |
ASSICURAZIONI GENERALI - SOCIETA PER           AZIONI|FINANCIALS|CORP|                                                         156,555,410 |                                                                     34 |                                           857,534,540 |                                                                   174 | Europe           |
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                                         153,976,824 |                                                                     38 |                                        1,322,758,214 |                                                                   409 | Europe           |
WINDSTREAM SERVICES, LLC|TELECOMMUNICATIONS SERVICES|CORP|                                                         149,872,587 |                                                                     41 |                                        1,193,950,000 |                                                                   377 | Americas           |
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                                         148,764,076 |                                                                     19 |                                           434,915,405 |                                                                   102 | Americas           |
AXA|FINANCIALS|CORP|                                                         146,889,713 |                                                                     20 |                                           901,909,179 |                                                                   163 | Europe           |
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                                         143,175,401 |                                                                     17 |                                           387,454,505 |                                                                    67 | Americas           |
JAPAN|GOVERNMENT|SOV|                                                         143,175,262 |                                                                       9 |                                           537,424,820 |                                                                    52 | Japan           |
UNITYMEDIA GMBH|CONSUMER SERVICES|CORP|                                                         139,509,999 |                                                                       8 |                                           814,902,066 |                                                                    41 | Europe           |
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                                         139,134,206 |                                                                     58 |                                           879,518,234 |                                                                   439 | Europe           |
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|                                                         138,311,571 |                                                                     15 |                                           272,375,755 |                                                                    75 | Americas           |
BANK OF CHINA LIMITED|FINANCIALS|CORP|                                                         136,067,692 |                                                                     10 |                                           949,655,000 |                                                                    78 | Asia Ex-Japan           |
MACY'S, INC.|CONSUMER SERVICES|CORP|                                                         135,936,560 |                                                                     33 |                                           587,558,000 |                                                                   191 | Americas           |
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                         131,754,878 |                                                                     29 |                                           977,128,226 |                                                                   346 | Americas           |
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                                         129,045,077 |                                                                     27 |                                           795,641,000 |                                                                   233 | Americas           |
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                         128,935,107 |                                                                     27 |                                        1,105,476,379 |                                                                   294 | Americas           |
SOCIETE GENERALE|FINANCIALS|CORP|                                                         126,527,032 |                                                                     17 |                                           601,491,708 |                                                                    82 | Europe           |
CENTURYLINK, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                         125,761,480 |                                                                     41 |                                           832,874,613 |                                                                   329 | Americas           |
FRONTIER COMMUNICATIONS CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                                         125,590,462 |                                                                     46 |                                           574,040,000 |                                                                   230 | Americas           |
FIAT CHRYSLER AUTOMOBILES N.V.|CONSUMER GOODS|CORP|                                                         124,349,728 |                                                                     27 |                                           731,631,553 |                                                                   201 | Europe           |
COMMONWEALTH OF AUSTRALIA|GOVERNMENT|SOV|                                                         122,298,462 |                                                                       6 |                                           421,290,000 |                                                                    33 | Australia NZ           |
NORDSTROM, INC.|CONSUMER SERVICES|CORP|                                                         121,454,477 |                                                                     36 |                                           813,115,000 |                                                                   163 | Americas           |
THE HERTZ CORPORATION|CONSUMER SERVICES|CORP|                                                         121,384,124 |                                                                     59 |                                           819,658,000 |                                                                   493 | Americas           |
METLIFE, INC.|FINANCIALS|CORP|                                                         121,095,508 |                                                                     12 |                                           226,300,000 |                                                                    67 | Americas           |
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|                                                         120,891,553 |                                                                     13 |                                           505,807,702 |                                                                    61 | Europe           |
BNP PARIBAS|FINANCIALS|CORP|                                                         119,756,267 |                                                                     21 |                                           720,996,437 |                                                                   165 | Europe           |
MORGAN STANLEY|FINANCIALS|CORP|                                                         119,146,654 |                                                                     17 |                                           606,340,000 |                                                                   122 | Americas           |
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                                         118,228,214 |                                                                     38 |                                           733,154,905 |                                                                   268 | Europe           |
RALLYE|CONSUMER SERVICES|CORP|                                                         117,888,760 |                                                                   106 |                                           795,831,901 |                                                                   954 | Europe           |
SUPERVALU INC.|CONSUMER SERVICES|CORP|                                                         117,825,704 |                                                                     40 |                                           599,912,153 |                                                                   177 | Americas           |
