Reference EntityPEOPLE'S REPUBLIC OF CHINA|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 2,170,497,061 |Average Number of Trades/Week 154 |Notional traded in prior 8 Weeks 9,809,550,649 |Contracts traded in prior 8 Weeks 1,003 |DC RegionAsia Ex-Japan  
UNITED MEXICAN STATES|GOVERNMENT|SOV|                              1,688,130,287 |                                          261 |                       10,185,426,575 |                                        1,665 |  Americas  
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                              1,552,450,086 |                                          210 |                         8,546,251,772 |                                        1,092 |  Europe  
FEDERATIVE REPUBLIC OF BRAZIL|GOVERNMENT|SOV|                              1,413,896,401 |                                          202 |                         9,707,237,700 |                                        1,612 |  Americas  
REPUBLIC OF KOREA|GOVERNMENT|SOV|                              1,409,272,164 |                                            76 |                         8,884,853,148 |                                           457 |  Asia Ex-Japan  
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                              1,339,700,296 |                                          199 |                         9,508,691,380 |                                        1,613 |  Europe  
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                              1,329,267,977 |                                          198 |                         7,666,757,000 |                                        1,234 |  Asia Ex-Japan  
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                 968,014,115 |                                          232 |                         5,461,205,753 |                                        1,140 |  Americas  
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                 758,567,655 |                                            62 |                         5,952,677,677 |                                           560 |  Europe  
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                 683,281,546 |                                          184 |                                          -    |                                             -    |  Europe  
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                 676,407,306 |                                            88 |                         7,634,214,446 |                                           832 |  Americas  
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                 520,172,076 |                                            74 |                         3,410,549,102 |                                           526 |  Asia Ex-Japan  
MALAYSIA|GOVERNMENT|SOV|                                 420,617,538 |                                            73 |                         1,979,534,000 |                                           475 |  Asia Ex-Japan  
FRENCH REPUBLIC|GOVERNMENT|SOV|                                 407,583,095 |                                            19 |                         2,016,150,000 |                                            93 |  Europe  
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                 367,174,063 |                                            43 |                         2,307,215,631 |                                           225 |  Europe  
REPUBLIC OF PERU|GOVERNMENT|SOV|                                 342,623,800 |                                            65 |                         1,883,679,000 |                                           501 |  Americas  
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                 281,169,577 |                                            49 |                         2,067,445,000 |                                           465 |  Americas  
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                 261,004,448 |                                            43 |                         3,105,799,935 |                                           518 |  Americas  
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                 246,556,861 |                                            44 |                         1,972,656,512 |                                           446 |  Europe  
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                 208,332,603 |                                            31 |                         1,861,670,079 |                                           307 |  Europe  
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                 201,457,917 |                                            34 |                         2,005,782,182 |                                           359 |  Europe  
SOCIETE GENERALE|FINANCIALS|CORP|                                 197,796,415 |                                            32 |                            959,581,286 |                                           178 |  Europe  
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                 197,370,149 |                                            31 |                         1,303,253,472 |                                           272 |  Europe  
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                 191,649,932 |                                            38 |                         1,444,247,608 |                                           310 |  Europe  
BNP PARIBAS|FINANCIALS|CORP|                                 183,732,387 |                                            26 |                            887,853,450 |                                           128 |  Europe  
AIRBUS SE|INDUSTRIALS|CORP|                                 179,158,553 |                                            27 |                         1,459,196,115 |                                           240 |  Europe  
INTESA SANPAOLO SPA|FINANCIALS|CORP|                                 175,805,608 |                                            34 |                         1,276,735,776 |                                           293 |  Europe  
BP P.L.C.|ENERGY|CORP|                                 172,032,632 |                                            24 |                         1,020,345,006 |                                           198 |  Europe  
BASF SE|BASIC MATERIALS|CORP|                                 169,601,128 |                                            40 |                         1,313,864,917 |                                           390 |  Europe  
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                 169,101,158 |                                            55 |                         1,035,566,000 |                                           385 |  Americas  
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                 168,505,188 |                                            15 |                            946,500,000 |                                            88 |  Europe  
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                 163,490,469 |                                            56 |                         1,265,179,000 |                                           455 |  Americas  
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                 159,899,759 |                                            52 |                            878,494,104 |                                           256 |  Europe  
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                 158,599,047 |                                            19 |                         1,279,883,234 |                                           126 |  Americas  
MORGAN STANLEY|FINANCIALS|CORP|                                 157,975,939 |                                            25 |                         1,209,472,528 |                                           167 |  Americas  
THE GOLDMAN SACHS GROUP, INC.|FINANCIALS|CORP|                                 157,519,741 |                                            23 |                            927,419,674 |                                           185 |  Americas  
STELLANTIS N.V.|CONSUMER GOODS|CORP|                                 154,244,309 |                                            62 |                         1,507,719,275 |                                           547 |  Europe  
BARCLAYS BANK PLC|FINANCIALS|CORP|                                 154,183,415 |                                              8 |                         2,486,900,423 |                                            91 |  Europe  
UNIBAIL-RODAMCO-WESTFIELD SE|FINANCIALS|CORP|                                 152,109,000 |                                            29 |                         1,046,576,090 |                                           303 |  Europe  
SOFTBANK GROUP CORP.|TELECOMMUNICATIONS SERVICES|CORP|                                 149,241,800 |                                            36 |                         1,101,480,070 |                                           309 |  Japan  
FEDERAL REPUBLIC OF GERMANY|GOVERNMENT|SOV|                                 148,805,155 |                                              5 |                         1,019,700,000 |                                            46 |  Europe  
