Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                         1,346,973,677 |                                                       76 |                                  17,560,220,481 |                                                      591 |Europe
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                         1,279,091,551 |                                                     182 |                                   4,033,480,339 |                                                      551 |Europe
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                                         1,209,386,731 |                                                       70 |                                   7,254,553,000 |                                                      386 |Asia Ex-Japan
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                         1,202,757,589 |                                                     192 |                                   4,345,854,057 |                                                      630 |Americas
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                         1,007,174,588 |                                                     146 |                                   5,454,904,617 |                                                      860 |Europe
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                  939,511,986           |                                                     105 |                                   3,819,063,000 |                                                      480 |Asia Ex-Japan
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                  713,687,477           |                                                     151 |                                   3,968,169,557 |                                                      868 |Americas
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                  699,551,662           |                                                       32 |                                   3,584,680,000 |                                                      209 |Asia Ex-Japan
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                  618,042,158           |                                                     104 |                                   1,902,963,000 |                                                      280 |Europe
REPUBLIC OF PERU|GOVERNMENT|SOV|                                  395,316,654           |                                                       97 |                                   2,338,804,000 |                                                      548 |Americas
GENERAL ELECTRIC COMPANY|INDUSTRIALS|CORP|                                  384,337,510           |                                                       98 |                                   1,721,378,210 |                                                      341 |Americas
MALAYSIA|GOVERNMENT|SOV|                                  364,017,748           |                                                       33 |                                   1,131,082,000 |                                                      172 |Asia Ex-Japan
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                  317,612,217           |                                                       44 |                                   2,082,172,000 |                                                      332 |Americas
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                  314,298,235           |                                                       35 |                                   1,786,535,100 |                                                      227 |Europe
FRENCH REPUBLIC|GOVERNMENT|SOV|                                  263,533,191           |                                                       15 |                                      823,224,720 |                                                        65 |Europe
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                  240,149,103           |                                                       31 |                                   1,350,262,000 |                                                      220 |Asia Ex-Japan
THE BOEING COMPANY|INDUSTRIALS|CORP|                                  236,088,594           |                                                       52 |                                   1,495,563,082 |                                                      498 |Americas
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  229,389,403           |                                                       63 |                                   1,044,056,236 |                                                      392 |Americas
BP P.L.C.|ENERGY|CORP|                                  190,705,785           |                                                       20 |                                   1,029,558,066 |                                                      151 |Europe
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                  187,148,979           |                                                       29 |                                   1,574,749,672 |                                                      261 |Europe
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                  186,743,376           |                                                       25 |                                      503,619,154 |                                                        81 |Europe
DAIMLER AG|CONSUMER GOODS|CORP|                                  179,877,889           |                                                       21 |                                   1,948,163,414 |                                                      222 |Europe
BNP PARIBAS|FINANCIALS|CORP|                                  176,015,563           |                                                       22 |                                      531,789,604 |                                                        78 |Europe
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                  174,884,968           |                                                       25 |                                      516,050,802 |                                                        77 |Europe
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                  169,471,523           |                                                       15 |                                   1,176,921,724 |                                                        99 |Europe
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|                                  164,119,241           |                                                       46 |                                   1,648,378,298 |                                                      376 |Europe
