Reference           EntityPEOPLE'S REPUBLIC OF CHINA|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                  1,996,639,284 |Average Number of Trades/Week                            139 |Notional traded in prior 8 Weeks                                              9,554,158,000 |Contracts traded in prior 8  Weeks                            712 |DC Region Asia Ex-Japan
FEDERATIVE REPUBLIC OF BRAZIL|GOVERNMENT|SOV|                                                 1,818,706,944 |                           246 |                                           10,068,690,373 |                        1,326 | Americas
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                                 1,455,049,890 |                           228 |                                             6,336,572,840 |                           661 | Americas
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                                 1,448,918,681 |                           211 |                                           10,225,787,528 |                        1,399 | Europe
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                                 1,366,015,257 |                           202 |                                           11,034,107,000 |                        1,756 | Europe
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                                 1,174,019,169 |                             84 |                                             3,720,750,000 |                           464 | Asia Ex-Japan
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                                 1,152,464,684 |                           175 |                                             5,292,164,796 |                           676 | Asia Ex-Japan
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                                 1,038,862,437 |                           126 |                                             4,333,067,000 |                           546 | Americas
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                                    790,619,263 |                           157 |                                             4,008,622,548 |                           816 | Americas
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                                    614,336,308 |                             49 |                                             6,279,375,000 |                           348 | Europe
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                                    575,860,560 |                             40 |                                             6,348,403,054 |                           404 | Europe
MALAYSIA|GOVERNMENT|SOV|                                                    481,985,490 |                             93 |                                             1,807,862,192 |                           610 | Asia Ex-Japan
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                                    456,453,355 |                           108 |                                             2,225,957,962 |                           487 | Asia Ex-Japan
REPUBLIC OF PERU|GOVERNMENT|SOV|                                                    421,447,772 |                           102 |                                             3,550,037,000 |                           697 | Americas
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|                                                    415,512,382 |                             95 |                                             3,287,470,083 |                           756 | Europe
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                    375,790,687 |                             68 |                                             1,928,547,800 |                           355 | Americas
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                                    367,399,435 |                             39 |                                             4,743,284,740 |                           557 | Europe
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                                    346,849,703 |                             56 |                                             2,096,153,720 |                           337 | Americas
UNITED STATES OF AMERICA|GOVERNMENT|SOV|                                                    343,249,328 |                             17 |                                             8,539,777,882 |                           430 | Europe
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                                    337,225,209 |                             49 |                                             2,606,789,242 |                           390 | Europe
AIRBUS SE|INDUSTRIALS|CORP|                                                    294,926,388 |                             37 |                                             1,535,657,485 |                           237 | Europe
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                                    290,876,560 |                             43 |                                             4,539,927,162 |                           561 | Europe
BRITISH TELECOMMUNICATIONS PUBLIC           LIMITED           COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                                    286,361,865 |                             44 |                                             4,396,629,802 |                           526 | Europe
ENEL S.P.A.|UTILITIES|CORP|                                                    284,011,135 |                             48 |                                             3,349,062,726 |                           473 | Europe
FRENCH REPUBLIC|GOVERNMENT|SOV|                                                    277,840,962 |                             13 |                                             1,710,700,000 |                           102 | Europe
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                                    277,483,151 |                             48 |                                             2,945,477,359 |                           437 | Europe
BP P.L.C.|ENERGY|CORP|                                                    277,353,178 |                             37 |                                             1,338,854,689 |                           237 | Europe
TELECOM ITALIA SPA|TELECOMMUNICATIONS SERVICES|CORP|                                                    273,513,732 |                             57 |                                             4,131,256,632 |                           719 | Europe
BARCLAYS PLC|FINANCIALS|CORP|                                                    267,010,790 |                             44 |                                             2,229,560,786 |                           422 | Europe
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|                                                    259,608,251 |                             40 |                                             2,150,457,597 |                           337 | Europe
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                                    257,408,579 |                             70 |                                             2,002,086,120 |                           571 | Europe
BASF SE|BASIC MATERIALS|CORP|                                                    256,619,220 |                             40 |                                             3,233,633,014 |                           411 | Europe
THE BOEING COMPANY|INDUSTRIALS|CORP|                                                    255,761,140 |                             47 |                                             1,436,694,000 |                           329 | Americas
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                                    251,048,867 |                             31 |                                             3,578,151,811 |                           359 | Europe
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                                    249,875,063 |                             45 |                                             3,766,647,923 |                           586 | Europe
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                                    246,808,043 |                             62 |                                             1,334,782,000 |                           449 | Americas
UNITED KINGDOM OF GREAT BRITAIN AND           NORTHERN IRELAND|GOVERNMENT|SOV|                                                    243,229,676 |                             12 |                                                780,922,785 |                            38 | Europe
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                                    236,678,824 |                             22 |                                             1,018,547,000 |                           144 | Americas
JPMORGAN CHASE & CO.|FINANCIALS|CORP|                                                    233,881,862 |                             22 |                                                845,390,000 |                           165 | Americas
MERCEDES-BENZ GROUP AG|CONSUMER GOODS|CORP|                                                    221,097,330 |                             32 |                                             1,292,231,092 |                           198 | Europe
NATWEST GROUP PLC|FINANCIALS|CORP|                                                    218,214,548 |                             33 |                                             2,209,161,499 |                           342 | Europe
ARCELORMITTAL|BASIC MATERIALS|CORP|                                                    217,755,841 |                             46 |                                             3,243,125,680 |                           570 | Europe
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                                    216,873,564 |                             49 |                                             2,834,407,886 |                           569 | Europe
BNP PARIBAS|FINANCIALS|CORP|                                                    216,658,078 |                             35 |                                             1,282,073,007 |                           238 | Europe
STANDARD CHARTERED PLC|FINANCIALS|CORP|                                                    215,535,310 |                             38 |                                             1,912,073,655 |                           341 | Europe
INTESA SANPAOLO SPA|FINANCIALS|CORP|                                                    212,188,331 |                             42 |                                             1,979,135,901 |                           354 | Europe
SOCIETE GENERALE|FINANCIALS|CORP|                                                    204,404,884 |                             31 |                                             2,213,706,818 |                           357 | Europe
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                                    202,446,397 |                             43 |                                             2,364,468,962 |                           450 | Europe
STELLANTIS N.V.|CONSUMER GOODS|CORP|                                                    201,874,828 |                             55 |                                             1,541,808,004 |                           428 | Europe
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                                    201,487,927 |                               9 |                                                408,322,785 |                            24 | Europe
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                                    201,481,295 |                             34 |                                             1,806,300,869 |                           340 | Europe
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                                    200,641,008 |                             43 |                                             1,558,726,470 |                           391 | Europe
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                                    200,079,531 |                             56 |                                             1,532,229,000 |                           439 | Americas
BAYERISCHE MOTOREN WERKE           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                                    199,234,301 |                             35 |                                             1,186,318,654 |                           185 | Europe
NATURGY ENERGY GROUP, S.A.|UTILITIES|CORP|                                                    198,958,572 |                             22 |                                             2,011,313,901 |                           274 | Europe
AMERICAN AIRLINES GROUP INC.|INDUSTRIALS|CORP|                                                    197,305,269 |                             66 |                                             1,700,397,000 |                           605 | Americas
CARNIVAL CORPORATION|CONSUMER SERVICES|CORP|                                                    192,822,004 |                             64 |                                             1,624,422,500 |                           521 | Americas
WALMART INC.|CONSUMER SERVICES|CORP|                                                    192,766,615 |                             16 |                                                905,934,000 |                           100 | Americas
BARCLAYS BANK PLC|FINANCIALS|CORP|                                                    192,755,425 |                             20 |                                             1,718,206,524 |                            77 | Europe
JAPAN|GOVERNMENT|SOV|                                                    191,290,162 |                             16 |                                                927,587,600 |                            93 | Japan
UNICREDIT, SOCIETA PER AZIONI|FINANCIALS|CORP|                                                    188,335,095 |                             43 |                                             1,907,815,214 |                           419 | Europe
THE GOLDMAN SACHS GROUP, INC.|FINANCIALS|CORP|                                                    186,039,103 |                             26 |                                             1,285,898,847 |                           196 | Americas
CENTRICA PLC|UTILITIES|CORP|                                                    184,266,965 |                             27 |                                             2,328,813,434 |                           318 | Europe
UNIBAIL-RODAMCO-WESTFIELD SE|FINANCIALS|CORP|                                                    183,526,421 |                             37 |                                             1,086,915,206 |                           252 | Europe
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|                                                    179,499,246 |                             44 |                                                741,709,784 |                           263 | Europe
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|                                                    177,650,343 |                             27 |                                             1,032,870,668 |                           139 | Europe
TESCO PLC|CONSUMER SERVICES|CORP|                                                    174,891,921 |                             30 |                                                843,963,664 |                           208 | Europe
MEDIOBANCA BANCA DI CREDITO FINANZIARIO           SOCIETA PER AZIONI|FINANCIALS|CORP|                                                    174,756,049 |                             31 |                                             2,291,775,135 |                           326 | Europe
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES|CORP|                                                    173,777,029 |                             42 |                                             2,594,398,718 |                           506 | Europe
ORANGE|TELECOMMUNICATIONS SERVICES|CORP|                                                    169,185,589 |                             19 |                                             2,501,924,022 |                           283 | Europe
THE PROCTER & GAMBLE COMPANY|CONSUMER GOODS|CORP|                                                    168,958,962 |                             18 |                                                964,720,000 |                           100 | Americas
