Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                              1,165,929,231 |                                             84 |                           4,047,950,000 |                                            389 |  Asia Ex-Japan  
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                              1,149,179,381 |                                           163 |                           7,206,955,600 |                                            861 |  Europe  
REPUBLIC OF ITALY|GOVERNMENT|SOV|                              1,138,478,550 |                                             70 |                         11,580,855,668 |                                            753 |  Europe  
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                              1,107,743,165 |                                           148 |                           5,816,733,702 |                                            900 |  Europe  
UNITED MEXICAN STATES|GOVERNMENT|SOV|                              1,017,831,035 |                                           134 |                           4,275,872,000 |                                            691 |  Americas  
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                923,362,147 |                                           113 |                           6,180,272,000 |                                            763 |  Asia Ex-Japan  
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                790,522,871 |                                             47 |                           4,214,826,000 |                                            319 |  Asia Ex-Japan  
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                494,548,606 |                                             83 |                           2,088,841,000 |                                            339 |  Europe  
MALAYSIA|GOVERNMENT|SOV|                                421,309,231 |                                             43 |                           1,565,950,000 |                                            191 |  Asia Ex-Japan  
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                390,589,747 |                                             88 |                           2,201,953,000 |                                            385 |  Americas  
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                296,140,984 |                                             46 |                           1,980,780,838 |                                            373 |  Americas  
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                283,454,115 |                                             36 |                             978,659,000 |                                            133 |  Europe  
