Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                1,860,660,043 |                                               97 |                             3,962,062,000 |                                              299 |  Asia Ex-Japan  
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                1,707,782,142 |                                             257 |                             5,269,803,249 |                                              723 |  Americas  
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                                1,544,618,047 |                                             125 |                             5,017,611,100 |                                              418 |  Asia Ex-Japan  
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                1,531,226,345 |                                             244 |                             7,046,399,004 |                                           1,175 |  Europe  
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                1,352,052,822 |                                             176 |                             4,721,129,895 |                                              722 |  Asia Ex-Japan  
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                1,149,775,113 |                                             190 |                             4,984,207,400 |                                              908 |  Europe  
REPUBLIC OF ITALY|GOVERNMENT|SOV|                                1,112,476,585 |                                               94 |                             6,194,489,954 |                                              830 |  Europe  
RUSSIAN FEDERATION|GOVERNMENT|SOV|                                  868,412,278 |                                             147 |                             3,242,391,400 |                                              811 |  Europe  
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                  772,798,211 |                                             165 |                             1,958,942,434 |                                              483 |  Americas  
MALAYSIA|GOVERNMENT|SOV|                                  605,098,254 |                                               79 |                             1,953,404,860 |                                              283 |  Asia Ex-Japan  
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                  512,089,686 |                                               74 |                             1,750,300,956 |                                              255 |  Europe  
FRENCH REPUBLIC|GOVERNMENT|SOV|                                  360,623,270 |                                               16 |                             1,105,100,000 |                                                71 |  Europe  
COMMONWEALTH OF AUSTRALIA|GOVERNMENT|SOV|                                  354,164,615 |                                               17 |                               676,050,000 |                                                59 |  Australia NZ  
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                  319,538,280 |                                               54 |                             1,581,870,703 |                                              219 |  Europe  
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                  296,461,460 |                                               45 |                               792,992,557 |                                              138 |  Asia Ex-Japan  
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  284,025,362 |                                               62 |                             1,785,236,400 |                                              432 |  Americas  
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                  263,922,465 |                                               66 |                               510,122,000 |                                              145 |  Americas  
HELLENIC REPUBLIC|GOVERNMENT|SOV|                                  236,474,375 |                                               40 |                             1,096,988,000 |                                              192 |  Europe  
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                  230,837,848 |                                               17 |                               911,898,018 |                                                87 |  Europe  
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                  218,001,900 |                                               77 |                             1,182,580,400 |                                              408 |  Americas  
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                  217,559,100 |                                               40 |                             1,508,214,222 |                                              326 |  Europe  
GLENCORE INTERNATIONAL AG|BASIC MATERIALS|CORP|                                  216,808,638 |                                               49 |                             1,236,635,354 |                                              205 |  Europe  
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                  214,801,901 |                                               37 |                               854,616,896 |                                              165 |  Americas  
REPUBLIC OF PERU|GOVERNMENT|SOV|                                  214,638,500 |                                               42 |                               659,537,000 |                                              160 |  Americas  
STANDARD CHARTERED PLC|FINANCIALS|CORP|                                  212,732,257 |                                               31 |                               620,675,086 |                                              124 |  Europe  
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|                                  209,030,917 |                                               67 |                             1,157,950,173 |                                              384 |  Europe  
BANK OF CHINA LIMITED|FINANCIALS|CORP|                                  199,946,281 |                                               14 |                             1,144,850,000 |                                                86 |  Asia Ex-Japan  
