Reference EntityREPUBLIC OF ITALY|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                        3,307,054,703 |Average Number of Trades/Week                                                     115 |Notional traded in prior 8 Weeks                                  32,605,791,800 |Contracts traded in prior 8 Weeks                                                     881 |DC Region Europe 
REPUBLIC OF SOUTH AFRICA|GOVERNMENT|SOV|                                       1,801,232,590 |                                                    260 |                                   8,052,236,002 |                                                 1,333 | Europe 
REPUBLIC OF TURKEY|GOVERNMENT|SOV|                                       1,754,818,561 |                                                    309 |                                   7,181,700,975 |                                                 1,323 | Europe 
UNITED MEXICAN STATES|GOVERNMENT|SOV|                                       1,546,458,951 |                                                    227 |                                   8,838,427,000 |                                                 1,064 | Americas 
FEDERATIVE REPUBLIC OF BRAZIL|GOVERNMENT|SOV|                                       1,523,052,494 |                                                    194 |                                   9,905,973,567 |                                                 1,174 | Americas 
PEOPLE'S REPUBLIC OF CHINA|GOVERNMENT|SOV|                                       1,476,417,745 |                                                    114 |                                   9,424,942,000 |                                                 1,021 | Asia Ex-Japan 
REPUBLIC OF INDONESIA|GOVERNMENT|SOV|                                       1,117,676,723 |                                                    154 |                                   5,785,430,000 |                                                    741 | Asia Ex-Japan 
REPUBLIC OF CHILE|GOVERNMENT|SOV|                                          979,599,862 |                                                      95 |                                   5,709,808,500 |                                                    555 | Americas 
REPUBLIC OF KOREA|GOVERNMENT|SOV|                                          968,194,692 |                                                      73 |                                   2,954,020,000 |                                                    328 | Asia Ex-Japan 
REPUBLIC OF COLOMBIA|GOVERNMENT|SOV|                                          945,734,643 |                                                    152 |                                   5,002,092,132 |                                                    910 | Americas 
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                          813,237,963 |                                                      91 |                                   8,010,551,886 |                                                    893 | Europe 
UBS GROUP AG|FINANCIALS|CORP|                                          758,839,632 |                                                    157 |                                   5,183,059,258 |                                                    763 | Europe 
KINGDOM OF SPAIN|GOVERNMENT|SOV|                                          623,794,681 |                                                      35 |                                   3,258,942,534 |                                                    183 | Europe 
AT&T INC.|TELECOMMUNICATIONS SERVICES|CORP|                                          565,094,246 |                                                    102 |                                   3,357,765,000 |                                                    781 | Americas 
KINGDOM OF SAUDI ARABIA|GOVERNMENT|SOV|                                          525,430,705 |                                                      36 |                                   1,359,511,200 |                                                    156 | Europe 
BANK OF AMERICA CORPORATION|FINANCIALS|CORP|                                          480,371,590 |                                                      54 |                                   1,553,210,000 |                                                    316 | Americas 
MERCEDES-BENZ GROUP AG|CONSUMER GOODS|CORP|                                          472,844,366 |                                                      49 |                                   3,957,638,757 |                                                    314 | Europe 
AIRBUS SE|INDUSTRIALS|CORP|                                          467,328,959 |                                                      48 |                                   2,905,292,182 |                                                    261 | Europe 
DEUTSCHE BANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                          460,736,597 |                                                      75 |                                   4,099,374,458 |                                                    440 | Europe 
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                          458,041,609 |                                                      54 |                                   3,573,309,831 |                                                    346 | Europe 
INTESA SANPAOLO SPA|FINANCIALS|CORP|                                          457,301,909 |                                                      70 |                                   2,917,401,593 |                                                    488 | Europe 
STELLANTIS N.V.|CONSUMER GOODS|CORP|                                          447,056,572 |                                                      80 |                                   3,363,313,043 |                                                    526 | Europe 
REPUBLIC OF PERU|GOVERNMENT|SOV|                                          442,969,462 |                                                    118 |                                   2,063,026,000 |                                                    269 | Americas 
BP P.L.C.|ENERGY|CORP|                                          438,310,357 |                                                      47 |                                   3,346,161,627 |                                                    398 | Europe 
REPUBLIC OF THE PHILIPPINES|GOVERNMENT|SOV|                                          429,486,692 |                                                      73 |                                   2,139,955,000 |                                                    287 | Asia Ex-Japan 
LLOYDS BANKING GROUP PLC|FINANCIALS|CORP|                                          391,638,881 |                                                      48 |                                   3,869,449,249 |                                                    386 | Europe 
ROLLS-ROYCE PLC|INDUSTRIALS|CORP|                                          391,398,536 |                                                      72 |                                   2,583,616,713 |                                                    458 | Europe 
AXA|FINANCIALS|CORP|                                          382,171,649 |                                                      37 |                                   2,181,201,322 |                                                    205 | Europe 
MALAYSIA|GOVERNMENT|SOV|                                          379,234,748 |                                                      49 |                                   1,687,915,000 |                                                    156 | Asia Ex-Japan 
VERIZON COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES|CORP|                                          367,238,854 |                                                      82 |                                   1,473,489,000 |                                                    287 | Americas 
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                          353,239,540 |                                                      86 |                                   2,826,537,879 |                                                    794 | Europe 
ANHEUSER-BUSCH INBEV|CONSUMER GOODS|CORP|                                          345,845,186 |                                                      32 |                                   1,783,741,438 |                                                    176 | Europe 
STANDARD CHARTERED PLC|FINANCIALS|CORP|                                          336,095,829 |                                                      47 |                                   3,330,558,324 |                                                    391 | Europe 
BANCO SANTANDER, S.A.|FINANCIALS|CORP|                                          332,671,477 |                                                      47 |                                   1,996,266,127 |                                                    304 | Europe 
SOCIETE GENERALE|FINANCIALS|CORP|                                          329,642,257 |                                                      50 |                                   2,214,304,386 |                                                    365 | Europe 
FRENCH REPUBLIC|GOVERNMENT|SOV|                                          321,746,200 |                                                      10 |                                   1,320,450,000 |                                                     54 | Europe 
UNITED STATES OF AMERICA|GOVERNMENT|SOV|                                          319,571,695 |                                                      30 |                                      405,256,900 |                                                     19 | Europe 
ASTRAZENECA PLC|HEALTHCARE|CORP|                                          313,410,586 |                                                      25 |                                   1,860,587,487 |                                                    165 | Europe 
SIEMENS AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                          310,752,515 |                                                      28 |                                   1,841,562,065 |                                                    200 | Europe 
HSBC HOLDINGS PLC|FINANCIALS|CORP|                                          304,884,781 |                                                      48 |                                   3,846,649,694 |                                                    457 | Europe 
