REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.30|Untranched|4|1.7|25,000,000|0
CDX.EM.31|Untranched|6|3.7|25,000,000|1
CDX.EM.32|Untranched|7|3.7|50,000,000|3
CDX.EM.33|Untranched|7|7.0|475,000,000|40
CDX.NA.HY.25|Untranched|1|0.3|25,000,000|0
CDX.NA.HY.27|Untranched|1|0.7|25,000,000|0
CDX.NA.HY.28|Untranched|2|0.7|25,000,000|0
CDX.NA.HY.29|Untranched|3|2.3|50,000,000|1
CDX.NA.HY.30|Untranched|3|1.0|25,000,000|0
CDX.NA.HY.31|Tranched|7|4.7|25,000,000|1
CDX.NA.HY.31|Untranched|5|3.0|50,000,000|1
CDX.NA.HY.32|Untranched|4|1.7|75,000,000|2
CDX.NA.HY.33|Tranched|6|5.7|50,000,000|3
CDX.NA.HY.33|Untranched|9|7.0|200,000,000|7
CDX.NA.HY.34|Untranched|9|8.7|2,525,000,000|191
CDX.NA.IG.25|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.26|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.27|Untranched|3|1.0|25,000,000|0
CDX.NA.IG.28|Untranched|4|1.3|25,000,000|0
CDX.NA.IG.29|Tranched|4|2.0|25,000,000|0
CDX.NA.IG.29|Untranched|2|0.7|50,000,000|0
CDX.NA.IG.30|Untranched|3|1.0|25,000,000|0
CDX.NA.IG.31|Tranched|5|2.7|25,000,000|1
CDX.NA.IG.31|Untranched|3|1.3|50,000,000|1
CDX.NA.IG.32|Untranched|1|0.7|25,000,000|1
CDX.NA.IG.33|Tranched|7|5.7|25,000,000|1
CDX.NA.IG.33|Untranched|8|5.7|375,000,000|7
CDX.NA.IG.34|Untranched|9|8.7|6,525,000,000|153
CMBX.NA.AAA.10|Untranched|7|3.3|25,000,000|0
CMBX.NA.AAA.12|Untranched|6|4.3|25,000,000|2
CMBX.NA.AAA.8|Untranched|3|1.0|25,000,000|0
CMBX.NA.BBB-.6|Untranched|7|6.0|100,000,000|9
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|9|7.3|125,000,000|6
ITRAXX ASIA EX-JAPAN IG SERIES 25|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|2|0.7|25,000,000|1
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|8|5.7|100,000,000|6
ITRAXX AUSTRALIA SERIES 32|Untranched|3|1.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 24|Untranched|3|1.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|2|0.7|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|1|0.7|25,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|3|1.7|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|9|6.0|100,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|10|9.3|1,325,000,000|109
ITRAXX EUROPE SENIOR FINANCIALS SERIES 24|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 26|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|1|0.7|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|2|0.7|125,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|9|7.7|875,000,000|24
ITRAXX EUROPE SERIES 24|Tranched|2|0.7|25,000,000|0
ITRAXX EUROPE SERIES 24|Untranched|1|0.3|50,000,000|0
ITRAXX EUROPE SERIES 25|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE SERIES 26|Untranched|1|0.3|100,000,000|1
ITRAXX EUROPE SERIES 27|Untranched|3|1.3|25,000,000|0
ITRAXX EUROPE SERIES 28|Tranched|4|2.3|50,000,000|0
ITRAXX EUROPE SERIES 28|Untranched|3|2.0|175,000,000|1
ITRAXX EUROPE SERIES 29|Untranched|5|2.0|100,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|4|3.3|50,000,000|1
ITRAXX EUROPE SERIES 30|Untranched|5|2.3|150,000,000|1
ITRAXX EUROPE SERIES 31|Untranched|5|2.7|250,000,000|2
ITRAXX EUROPE SERIES 32|Tranched|5|4.3|25,000,000|1
ITRAXX EUROPE SERIES 32|Untranched|9|6.3|975,000,000|8
ITRAXX EUROPE SERIES 33|Untranched|10|9.3|4,500,000,000|103
ITRAXX EUROPE SUB FINANCIALS SERIES 32|Untranched|5|2.0|50,000,000|1
ITRAXX EUROPE SUB FINANCIALS SERIES 33|Untranched|7|4.0|100,000,000|6
ITRAXX JAPAN SERIES 31|Untranched|2|0.7|25,000,000|0
