
REF ENTITY|PRODUCT TYPE|CLEARING DEALERS|CLEARING DEALERS|NOTIONAL (USD EQ)|TRADES/DAY
CDX.EM.28|Untranched|7|3.7|25,000,000|0
CDX.EM.29|Untranched|9|6.3|25,000,000|1
CDX.EM.30|Untranched|11|9.7|300,000,000|22
CDX.EM.31|Untranched|11|10.7|900,000,000|77
CDX.NA.HY.24|Untranched|4|1.3|25,000,000|0
CDX.NA.HY.25|Untranched|7|4.7|25,000,000|1
CDX.NA.HY.27|Untranched|9|7.3|50,000,000|1
CDX.NA.HY.28|Untranched|8|4.0|25,000,000|0
CDX.NA.HY.29|Untranched|10|6.3|25,000,000|1
CDX.NA.HY.30|Untranched|11|8.7|50,000,000|2
CDX.NA.HY.31|Untranched|12|11.7|1,225,000,000|48
CDX.NA.HY.32|Untranched|13|12.3|3,275,000,000|210
CDX.NA.IG.19|Untranched|1|0.7|25,000,000|0
CDX.NA.IG.22|Untranched|4|1.7|25,000,000|0
CDX.NA.IG.23|Untranched|5|2.3|75,000,000|0
CDX.NA.IG.24|Untranched|3|1.3|25,000,000|0
CDX.NA.IG.25|Untranched|4|2.3|25,000,000|0
CDX.NA.IG.26|Untranched|5|3.3|50,000,000|0
CDX.NA.IG.27|Untranched|8|7.0|100,000,000|1
CDX.NA.IG.28|Untranched|8|6.0|75,000,000|1
CDX.NA.IG.29|Tranched|6|3.7|25,000,000|0
CDX.NA.IG.29|Untranched|12|9.0|75,000,000|1
CDX.NA.IG.30|Untranched|11|9.7|200,000,000|2
CDX.NA.IG.31|Tranched|5|4.7|75,000,000|2
CDX.NA.IG.31|Untranched|12|11.3|4,050,000,000|35
CDX.NA.IG.32|Untranched|14|13.0|10,400,000,000|245
CMBX.NA.AAA.10|Untranched|8|5.3|50,000,000|3
CMBX.NA.AAA.11|Untranched|7|6.7|75,000,000|4
CMBX.NA.AAA.8|Untranched|7|4.0|25,000,000|1
CMBX.NA.AAA.9|Untranched|7|4.3|25,000,000|1
CMBX.NA.BBB-.6|Untranched|8|7.3|75,000,000|17
IBOXX USD LIQUID HIGH YIELD           INDEX SERIES 1|Untranched|10|8.7|175,000,000|12
IOS.FN30.650.67|Untranched|1|0.3|25,000,000|0
