REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.33|Untranched|6|2.3|25,000,000|1
CDX.EM.34|Untranched|8|6.7|625,000,000|38
CDX.EM.35|Untranched|9|8.0|1,425,000,000|88
CDX.NA.HY.27|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.28|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.29|Untranched|2|0.7|75,000,000|1
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.31|Tranched|7|5.3|50,000,000|3
CDX.NA.HY.31|Untranched|1|0.3|125,000,000|3
CDX.NA.HY.32|Untranched|1|0.3|25,000,000|0
CDX.NA.HY.33|Tranched|7|5.3|75,000,000|6
CDX.NA.HY.33|Untranched|3|1.3|225,000,000|5
CDX.NA.HY.34|Untranched|2|1.0|125,000,000|5
CDX.NA.HY.35|Untranched|9|7.0|2,950,000,000|106
CDX.NA.HY.36|Untranched|10|9.0|5,500,000,000|348
CDX.NA.IG.26|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.27|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.28|Untranched|2|1.3|75,000,000|1
CDX.NA.IG.29|Untranched|1|0.3|75,000,000|0
CDX.NA.IG.30|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.31|Tranched|5|3.3|25,000,000|1
CDX.NA.IG.31|Untranched|0|0.0|150,000,000|1
CDX.NA.IG.32|Untranched|1|0.3|25,000,000|0
CDX.NA.IG.33|Tranched|5|4.7|75,000,000|2
CDX.NA.IG.33|Untranched|3|1.0|275,000,000|4
CDX.NA.IG.34|Untranched|6|2.7|675,000,000|7
CDX.NA.IG.35|Untranched|9|6.3|8,875,000,000|74
CDX.NA.IG.36|Untranched|9|8.7|20,125,000,000|422
CMBX.NA.AAA.10|Untranched|5|3.0|25,000,000|1
CMBX.NA.AAA.8|Untranched|6|3.0|25,000,000|3
CMBX.NA.BBB-.6|Untranched|7|6.3|125,000,000|25
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|7|6.3|275,000,000|13
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|5|2.0|25,000,000|1
ITRAXX ASIA EX-JAPAN IG SERIES 34|Untranched|8|4.7|175,000,000|4
ITRAXX ASIA EX-JAPAN IG SERIES 35|Untranched|9|6.7|500,000,000|25
ITRAXX AUSTRALIA SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|1|0.3|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|3|1.3|50,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|0|0.0|100,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|2|1.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|4|1.3|75,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|4|2.0|75,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|10|7.0|1,425,000,000|59
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|10|9.3|3,800,000,000|250
ITRAXX EUROPE SENIOR FINANCIALS SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 26|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|3|1.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|0|0.0|50,000,000|1
