CDX.EM.34CDX.EM.35|UntranchedUntranched|04|0.0 1.7|25,000,000 25,000,000|0 2
CDX.EM.36|Untranched|9|7.7|425,000,000|31
CDX.EM.37|Untranched|8|8.0|1,800,000,000|115
CDX.NA.HY.28|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.29|Untranched|2|0.7|50,000,000|1
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.31|Tranched|5|3.7|25,000,000|2
CDX.NA.HY.31|Untranched|1|0.3|100,000,000|2
CDX.NA.HY.32|Untranched|0|0.0|50,000,000|1
CDX.NA.HY.33|Tranched|6|2.3|25,000,000|1
CDX.NA.HY.33|Untranched|2|0.7|175,000,000|3
CDX.NA.HY.34|Untranched|1|0.3|75,000,000|1
CDX.NA.HY.35|Untranched|5|2.3|125,000,000|3
CDX.NA.HY.36|Untranched|6|3.0|150,000,000|3
CDX.NA.HY.37|Tranched|6|5.3|75,000,000|6
CDX.NA.HY.37|Untranched|11|10.0|4,775,000,000|137
CDX.NA.HY.38|Untranched|12|11.3|14,975,000,000|743
CDX.NA.IG.28|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.29|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.30|Untranched|1|0.3|50,000,000|0
CDX.NA.IG.31|Tranched|6|4.3|25,000,000|1
CDX.NA.IG.31|Untranched|1|0.7|200,000,000|2
CDX.NA.IG.32|Untranched|0|0.0|50,000,000|0
CDX.NA.IG.33|Tranched|6|4.3|50,000,000|2
CDX.NA.IG.33|Untranched|0|0.0|200,000,000|2
CDX.NA.IG.34|Untranched|2|0.7|150,000,000|1
CDX.NA.IG.35|Untranched|3|1.7|300,000,000|4
CDX.NA.IG.36|Untranched|6|3.0|475,000,000|4
CDX.NA.IG.37|Tranched|6|4.7|100,000,000|3
CDX.NA.IG.37|Untranched|9|8.7|14,100,000,000|103
CDX.NA.IG.38|Untranched|10|9.3|53,000,000,000|901
CMBX.NA.AAA.10|Untranched|5|4.0|25,000,000|1
CMBX.NA.AAA.8|Untranched|0|0.0|25,000,000|0
CMBX.NA.BBB-.6|Untranched|7|7.0|100,000,000|23
IBOXX USD LIQUID HIGH           YIELD INDEX SERIES 1|Untranched|6|6.0|450,000,000|24
ITRAXX ASIA EX-JAPAN IG           SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG           SERIES 33|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG           SERIES 34|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG           SERIES 36|Untranched|8|3.7|225,000,000|19
ITRAXX ASIA EX-JAPAN IG           SERIES 37|Untranched|9|6.3|550,000,000|45
ITRAXX AUSTRALIA SERIES           32|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER           SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER           SERIES 28|Untranched|1|0.3|75,000,000|1
