
REF ENTITY|PRODUCT TYPE|CLEARING DEALERS|CLEARING DEALERS|NOTIONAL (USD EQ)|TRADES/DAY
CDX.EM.28|Untranched|6|3.0|25,000,000|1
CDX.EM.29|Untranched|5|1.7|25,000,000|1
CDX.EM.30|Untranched|7|4.7|50,000,000|2
CDX.EM.31|Untranched|9|7.7|300,000,000|28
CDX.EM.32|Untranched|9|8.7|675,000,000|54
CDX.NA.HY.24|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.25|Untranched|3|1.7|25,000,000|1
CDX.NA.HY.27|Untranched|2|0.7|50,000,000|1
CDX.NA.HY.28|Untranched|5|2.3|25,000,000|0
CDX.NA.HY.29|Untranched|7|4.0|75,000,000|2
CDX.NA.HY.30|Untranched|7|3.0|25,000,000|1
CDX.NA.HY.31|Tranched|7|6.7|50,000,000|4
CDX.NA.HY.31|Untranched|8|6.0|100,000,000|5
CDX.NA.HY.32|Untranched|10|7.3|1,300,000,000|43
CDX.NA.HY.33|Untranched|10|9.7|2,800,000,000|157
CDX.NA.IG.24|Untranched|3|1.0|25,000,000|0
CDX.NA.IG.25|Untranched|4|2.3|75,000,000|0
CDX.NA.IG.26|Untranched|4|2.3|100,000,000|1
CDX.NA.IG.27|Untranched|6|3.3|125,000,000|1
CDX.NA.IG.28|Untranched|7|3.0|50,000,000|1
CDX.NA.IG.29|Tranched|4|3.0|25,000,000|1
CDX.NA.IG.29|Untranched|8|5.3|100,000,000|1
CDX.NA.IG.30|Untranched|7|4.0|150,000,000|1
CDX.NA.IG.31|Tranched|6|5.0|50,000,000|1
CDX.NA.IG.31|Untranched|8|6.0|350,000,000|3
CDX.NA.IG.32|Untranched|10|8.3|3,725,000,000|36
CDX.NA.IG.33|Untranched|10|9.3|9,300,000,000|200
CMBX.NA.AAA.10|Untranched|7|5.0|25,000,000|1
CMBX.NA.AAA.11|Untranched|5|4.3|25,000,000|2
CMBX.NA.AAA.12|Untranched|11|9.7|100,000,000|6
CMBX.NA.AAA.8|Untranched|5|3.0|25,000,000|1
CMBX.NA.AAA.9|Untranched|7|4.7|25,000,000|5
CMBX.NA.BBB-.6|Untranched|8|7.0|75,000,000|21
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|9|7.7|175,000,000|8
