REF ENTITYCDX.EM.30|PRODUCT TYPEUntranched|CLEARING DEALERS5|CLEARING DEALERS 2.3|NOTIONAL (USD EQ) 25,000,000|TRADES/DAY 0
CDX.EM.32|Untranched|6|3.3|25,000,000|2
CDX.EM.33|Untranched|7|5.7|325,000,000|19
CDX.EM.34|Untranched|9|8.0|775,000,000|51
CDX.NA.HY.25|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.27|Untranched|3|1.3|25,000,000|0
CDX.NA.HY.28|Untranched|4|1.7|25,000,000|0
CDX.NA.HY.29|Untranched|4|1.7|25,000,000|1
CDX.NA.HY.30|Untranched|4|2.0|25,000,000|0
CDX.NA.HY.31|Tranched|5|5.0|25,000,000|1
CDX.NA.HY.31|Untranched|5|2.7|50,000,000|1
CDX.NA.HY.32|Untranched|4|1.3|50,000,000|1
CDX.NA.HY.33|Tranched|6|5.3|25,000,000|3
CDX.NA.HY.33|Untranched|6|3.3|200,000,000|5
CDX.NA.HY.34|Untranched|9|6.7|1,500,000,000|63
CDX.NA.HY.35|Untranched|9|8.7|3,100,000,000|205
CDX.NA.IG.25|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.26|Untranched|0|0.0|50,000,000|0
CDX.NA.IG.27|Untranched|1|0.7|25,000,000|0
CDX.NA.IG.28|Untranched|1|0.3|25,000,000|0
CDX.NA.IG.29|Tranched|5|4.0|25,000,000|1
CDX.NA.IG.29|Untranched|3|2.3|100,000,000|1
CDX.NA.IG.30|Untranched|2|0.7|50,000,000|0
CDX.NA.IG.31|Tranched|6|3.3|25,000,000|0
CDX.NA.IG.31|Untranched|1|0.3|50,000,000|0
CDX.NA.IG.32|Untranched|4|1.7|50,000,000|1
CDX.NA.IG.33|Tranched|6|5.3|50,000,000|2
CDX.NA.IG.33|Untranched|9|4.7|400,000,000|5
CDX.NA.IG.34|Untranched|9|7.3|4,475,000,000|64
CDX.NA.IG.35|Untranched|9|8.7|9,775,000,000|220
CMBX.NA.AAA.10|Untranched|4|3.0|25,000,000|1
CMBX.NA.AAA.8|Untranched|5|2.0|25,000,000|1
CMBX.NA.BBB-.6|Untranched|8|7.0|50,000,000|17
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|8|7.0|125,000,000|6
ITRAXX ASIA EX-JAPAN IG SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|8|3.7|100,000,000|3
