REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
A.P. MOLLER - MAERSK A/S|EUROPE||1|0.3|2,500,000|0|> 95%
ABBOTT LABORATORIES|AMERICAS||1|0.3|2,500,000|0|< 5%
ABU DHABI|SOVEREIGN|Y|7|4.3|12,500,000|2|> 95%
ACCOR|EUROPE|Y|5|3.3|7,500,000|2|> 95%
ACOM CO., LTD.|JAPAN|Y|5|2.7|2,500,000|0|> 95%
ADECCO GROUP AG|EUROPE|Y|3|1.7|2,500,000|0|> 95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE|Y|10|7.3|15,000,000|5|> 95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|8|4.7|12,500,000|3|< 5%
AEGON N.V.|EUROPE|Y|9|5.0|15,000,000|4|> 95%
AEON CO., LTD.|JAPAN|Y|5|2.3|2,500,000|0|> 95%
AETNA INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AGILE GROUP HOLDINGS LIMITED|ASIA EX-JAPAN||4|1.7|2,500,000|0|> 95%
AIR FRANCE - KLM|EUROPE|Y|10|4.0|7,500,000|2|> 95%
AIRBUS SE|EUROPE|Y|10|6.0|22,500,000|4|> 95%
AK STEEL CORPORATION|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|5|1.7|5,000,000|0|> 95%
AKTIEBOLAGET VOLVO|EUROPE|Y|6|3.3|5,000,000|1|> 95%
AKZO NOBEL N.V.|EUROPE|Y|5|1.7|15,000,000|3|> 95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN|Y|4|2.3|5,000,000|0|> 95%
ALLIANZ SE|EUROPE|Y|7|4.7|12,500,000|2|> 95%
ALLY FINANCIAL INC.|AMERICAS|Y|7|5.3|12,500,000|5|< 5%
ALSTOM|EUROPE|Y|5|1.7|10,000,000|2|> 95%
ALTICE FINCO S.A.|EUROPE|Y|9|5.0|17,500,000|5|> 95%
ALTICE FRANCE|EUROPE|Y|10|7.0|50,000,000|6|> 95%
ALTICE FRANCE HOLDING S.A.|EUROPE||3|2.0|2,500,000|0|> 95%
ALTRIA GROUP, INC.|AMERICAS|Y|5|2.7|17,500,000|3|< 5%
AMAZON.COM, INC.|AMERICAS||1|0.7|2,500,000|0|< 5%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|2|0.7|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|7|6.3|50,000,000|19|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|7|5.7|20,000,000|7|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|4|1.3|7,500,000|1|< 5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|6|2.3|10,000,000|2|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|5|2.0|12,500,000|3|< 5%
AMERICAN TOWER CORPORATION|AMERICAS||1|0.7|2,500,000|0|< 5%
