REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.34|Untranched|0|0.0|25,000,000|0
CDX.EM.35|Untranched|0|0.0|25,000,000|0
CDX.EM.36|Untranched|1|0.3|25,000,000|2
CDX.EM.37|Untranched|4|1.7|25,000,000|1
CDX.EM.38|Untranched|7|6.7|1,525,000,000|160
CDX.EM.39|Untranched|7|2.3|300,000,000|21
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.31|Tranched|6|2.7|50,000,000|5
CDX.NA.HY.31|Untranched|0|0.0|125,000,000|3
CDX.NA.HY.32|Untranched|0|0.0|75,000,000|1
CDX.NA.HY.33|Tranched|5|4.0|50,000,000|3
CDX.NA.HY.33|Untranched|0|0.0|325,000,000|5
CDX.NA.HY.34|Untranched|0|0.0|75,000,000|1
CDX.NA.HY.35|Untranched|0|0.0|150,000,000|3
CDX.NA.HY.36|Untranched|2|0.7|50,000,000|1
CDX.NA.HY.37|Tranched|5|3.7|75,000,000|4
CDX.NA.HY.37|Untranched|3|1.0|225,000,000|5
CDX.NA.HY.38|Untranched|5|1.7|400,000,000|14
CDX.NA.HY.39|Untranched|10|9.0|9,525,000,000|646
CDX.NA.IG.28|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.30|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.31|Tranched|3|1.0|25,000,000|1
CDX.NA.IG.31|Untranched|0|0.0|200,000,000|1
CDX.NA.IG.32|Untranched|1|0.3|50,000,000|0
CDX.NA.IG.33|Tranched|5|1.7|25,000,000|1
CDX.NA.IG.33|Untranched|2|0.7|375,000,000|2
CDX.NA.IG.34|Untranched|1|0.3|125,000,000|1
CDX.NA.IG.35|Tranched|2|0.7|25,000,000|1
CDX.NA.IG.35|Untranched|0|0.0|300,000,000|2
CDX.NA.IG.36|Untranched|1|0.3|175,000,000|2
CDX.NA.IG.37|Tranched|5|2.7|25,000,000|1
CDX.NA.IG.37|Untranched|2|0.7|500,000,000|4
CDX.NA.IG.38|Untranched|5|3.0|1,000,000,000|13
CDX.NA.IG.39|Tranched|6|3.7|175,000,000|3
CDX.NA.IG.39|Untranched|9|8.3|36,675,000,000|596
CDX.NA.IG.40|Untranched|7|2.3|7,250,000,000|163
CMBX.NA.AAA.10|Untranched|2|1.7|25,000,000|1
CMBX.NA.BBB-.6|Untranched|5|3.3|25,000,000|4
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|5|2.7|150,000,000|9
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 38|Untranched|6|3.3|325,000,000|23
ITRAXX AUSTRALIA SERIES 38|Untranched|4|1.7|175,000,000|8
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|1|0.3|125,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|0|0.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|2|0.7|175,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|0|0.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|2|0.7|225,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|0|0.0|75,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 36|Tranched|5|3.7|75,000,000|6
ITRAXX EUROPE CROSSOVER SERIES 36|Untranched|5|3.0|350,000,000|5
ITRAXX EUROPE CROSSOVER SERIES 37|Untranched|7|4.7|350,000,000|8
ITRAXX EUROPE CROSSOVER SERIES 38|Untranched|9|8.7|7,350,000,000|475
ITRAXX EUROPE CROSSOVER SERIES 39|Untranched|8|2.7|875,000,000|46
