REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|AMERICAS||4|1.3|5,000,000|0|75-95%
ABU DHABI|SOVEREIGN|Y|0|0.0|10,000,000|1|75-95%
ACCOR|EUROPE|Y|6|3.0|12,500,000|3|75-95%
ACOM CO., LTD.|JAPAN||5|2.0|2,500,000|0|> 95%
ADECCO GROUP AG|EUROPE|Y|0|0.0|12,500,000|2|> 95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE||7|3.3|7,500,000|2|25-75%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|5|2.3|17,500,000|4|< 5%
AEGON N.V.|EUROPE|Y|8|3.7|50,000,000|6|75-95%
AEON CO., LTD.|JAPAN||4|1.3|2,500,000|0|25-75%
AIRBUS SE|EUROPE|Y|9|5.3|100,000,000|10|75-95%
AIR FRANCE - KLM|EUROPE|Y|5|1.7|22,500,000|7|75-95%
AKTIEBOLAGET ELECTROLUX|EUROPE||3|1.3|17,500,000|4|75-95%
AKTIEBOLAGET VOLVO|EUROPE||7|3.7|50,000,000|6|75-95%
AKZO NOBEL N.V.|EUROPE||6|2.3|50,000,000|8|75-95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN||3|1.0|5,000,000|1|> 95%
ALLIANZ SE|EUROPE|Y|9|5.7|50,000,000|4|25-75%
ALLY FINANCIAL INC.|AMERICAS|Y|5|2.3|22,500,000|6|< 5%
ALSTOM|EUROPE|Y|5|2.0|50,000,000|5|75-95%
ALTICE FINCO S.A.|EUROPE||8|4.7|17,500,000|7|75-95%
ALTICE FRANCE|EUROPE|Y|9|4.7|75,000,000|15|75-95%
ALTICE FRANCE HOLDING S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
ALTRIA GROUP, INC.|AMERICAS|Y|3|1.0|25,000,000|4|< 5%
AMAZON.COM, INC.|AMERICAS||4|1.7|10,000,000|0|75-95%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|1|0.3|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|4|1.7|50,000,000|8|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|4|1.7|17,500,000|4|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|7|3.7|22,500,000|6|< 5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|5|2.0|20,000,000|8|< 5%
AMERICAN HONDA FINANCE CORPORATION|JAPAN||2|0.7|2,500,000|0|> 95%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|3|1.3|17,500,000|4|< 5%
AMERICAN TOWER CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AMGEN INC.|AMERICAS|Y|8|3.0|50,000,000|4|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|3|1.7|7,500,000|2|< 5%
ANA HOLDINGS INC.|JAPAN||6|3.0|2,500,000|1|75-95%
ANGLO AMERICAN PLC|EUROPE||10|6.3|75,000,000|12|75-95%
ANHEUSER-BUSCH INBEV|EUROPE||7|3.0|50,000,000|6|75-95%
ANTERO RESOURCES CORPORATION|AMERICAS|Y|2|1.0|2,500,000|1|< 5%
ANYWHERE REAL ESTATE GROUP LLC|AMERICAS|Y|0|0.0|15,000,000|4|< 5%
APACHE CORPORATION|AMERICAS|Y|3|1.7|50,000,000|6|< 5%
APPLE INC.|AMERICAS||3|1.0|2,500,000|0|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|6|3.0|12,500,000|4|75-95%
ARAMARK SERVICES, INC.|AMERICAS|Y|3|1.0|5,000,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|9|6.7|75,000,000|12|75-95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE||4|2.3|12,500,000|4|75-95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|6|2.7|7,500,000|3|75-95%
