REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
A.P. MOLLER - MAERSK A/S|EUROPE||1|0.3|2,500,000|0|> 95%
ABERTIS INFRAESTRUCTURAS, S.A.|EUROPE||2|0.7|2,500,000|0|> 95%
ABU DHABI|SOVEREIGN|Y|7|3.0|7,500,000|1|> 95%
ABU DHABI NATIONAL ENERGY COMPANY|EUROPE|Y|0|0.0|2,500,000|0|> 95%
ACCOR|EUROPE|Y|4|2.7|5,000,000|1|> 95%
ACOM CO., LTD.|JAPAN|Y|9|5.0|2,500,000|0|> 95%
ADECCO GROUP AG|EUROPE||5|1.7|2,500,000|0|> 95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE|Y|5|2.0|2,500,000|0|> 95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|5|2.7|5,000,000|2|< 5%
AEGON N.V.|EUROPE|Y|11|8.7|10,000,000|2|> 95%
AEON CO., LTD.|JAPAN|Y|8|4.0|2,500,000|0|> 95%
AETNA INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
AGRICULTURAL BANK OF CHINA LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
AIR FRANCE - KLM|EUROPE|Y|8|3.7|5,000,000|1|> 95%
AIR PRODUCTS AND CHEMICALS, INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
AIRBUS SE|EUROPE|Y|9|6.0|7,500,000|1|> 95%
AK STEEL CORPORATION|AMERICAS|Y|8|6.3|10,000,000|4|< 5%
AKBANK TURK ANONIM SIRKETI|EUROPE|Y|2|0.7|2,500,000|0|> 95%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|3|1.7|2,500,000|0|> 95%
AKTIEBOLAGET VOLVO|EUROPE|Y|7|4.3|5,000,000|1|> 95%
AKZO NOBEL N.V.|EUROPE|Y|8|4.3|5,000,000|1|> 95%
ALGECO GLOBAL FINANCE PLC|EUROPE|Y|2|0.7|2,500,000|0|> 95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN|Y|8|5.7|5,000,000|1|> 95%
ALLIANZ SE|EUROPE|Y|11|9.0|12,500,000|2|> 95%
ALLY FINANCIAL INC.|AMERICAS|Y|4|2.3|7,500,000|2|< 5%
ALSTOM|EUROPE|Y|3|1.7|2,500,000|0|> 95%
ALTICE FINCO S.A.|EUROPE|Y|9|6.7|5,000,000|1|> 95%
ALTICE FRANCE|EUROPE|Y|10|8.0|7,500,000|1|> 95%
ALTICE LUXEMBOURG S.A.|EUROPE||8|5.7|2,500,000|1|> 95%
ALTRIA GROUP, INC.|AMERICAS|Y|7|4.0|7,500,000|2|< 5%
AMCOR PTY LTD|AUSTRALIA NZ||2|0.7|2,500,000|0|> 95%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|2.3|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|6|3.7|5,000,000|1|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|7|6.3|10,000,000|3|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|5|2.3|2,500,000|1|5-25%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|6|2.0|2,500,000|1|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|3|2.0|7,500,000|1|< 5%
AMERICAN TOWER CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
AMERISOURCEBERGEN CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
AMGEN INC.|AMERICAS|Y|8|3.3|5,000,000|1|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|6|3.0|5,000,000|1|< 5%
AMP GROUP HOLDINGS LIMITED|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|> 95%
ANA HOLDINGS INC.|JAPAN|Y|9|5.0|5,000,000|1|> 95%
ANGLO AMERICAN PLC|EUROPE|Y|10|7.7|10,000,000|2|> 95%
ANGLOGOLD ASHANTI LIMITED|EUROPE||1|0.3|2,500,000|0|> 95%
ANHEUSER-BUSCH INBEV|EUROPE|Y|10|8.0|12,500,000|2|> 95%
APACHE CORPORATION|AMERICAS|Y|8|5.3|10,000,000|2|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|7|4.0|2,500,000|0|> 95%
ARAMARK SERVICES, INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|11|9.0|22,500,000|4|> 95%
ARCHER-DANIELS-MIDLAND COMPANY|AMERICAS||1|0.3|2,500,000|0|< 5%
ARCONIC INC.|AMERICAS|Y|5|3.0|5,000,000|1|5-25%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE|Y|7|4.7|5,000,000|1|> 95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|10|8.7|100,000,000|30|> 95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|4|1.7|2,500,000|1|< 5%
ASHLAND LLC|AMERICAS|Y|8|5.3|2,500,000|1|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE|Y|13|10.7|12,500,000|2|> 95%
ASSURED GUARANTY CORP.|AMERICAS||2|1.0|2,500,000|0|< 5%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|5|2.0|5,000,000|1|< 5%
ASTRAZENECA PLC|EUROPE|Y|8|3.0|5,000,000|1|> 95%
AT&T INC.|AMERICAS|Y|9|8.3|50,000,000|4|< 5%
ATLANTIA S.P.A.|EUROPE|Y|9|7.0|10,000,000|2|> 95%
AUCHAN HOLDING|EUROPE|Y|8|5.7|7,500,000|2|> 95%
AUSNET SERVICES HOLDINGS PTY LTD|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ|Y|9|5.7|15,000,000|2|> 95%
AUTOZONE, INC.|AMERICAS|Y|5|2.3|5,000,000|1|< 5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|8|6.0|7,500,000|2|< 5%
AVIVA PLC|EUROPE|Y|11|9.3|10,000,000|1|> 95%
AVNET, INC.|AMERICAS|Y|6|2.0|5,000,000|1|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|7|4.7|5,000,000|2|< 5%
AXA|EUROPE|Y|11|8.3|15,000,000|2|> 95%
BAE SYSTEMS PLC|EUROPE|Y|7|3.0|5,000,000|1|> 95%
BAIDU, INC.|ASIA EX-JAPAN|Y|8|5.0|2,500,000|1|> 95%
BALL CORPORATION|AMERICAS|Y|9|6.3|2,500,000|1|5-25%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE|Y|3|1.3|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|11|10.0|20,000,000|3|> 95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||5|2.7|2,500,000|0|> 95%
BANCO BRADESCO S.A.|AMERICAS||1|0.3|2,500,000|0|> 95%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE|Y|3|1.3|2,500,000|0|> 95%
BANCO DE SABADELL, S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
BANCO DO BRASIL S.A.|AMERICAS||1|0.3|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|EUROPE|Y|11|10.0|22,500,000|3|> 95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|6|3.7|12,500,000|1|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|9|6.7|25,000,000|2|> 95%
BANK OF INDIA|ASIA EX-JAPAN|Y|7|4.0|2,500,000|0|> 95%
BANKIA, S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
BARCLAYS BANK PLC|EUROPE|Y|9|5.3|12,500,000|1|> 95%
BARCLAYS PLC|EUROPE|Y|10|8.7|50,000,000|6|> 95%
BARRICK GOLD CORPORATION|AMERICAS|Y|7|3.7|5,000,000|1|< 5%
BASF SE|EUROPE|Y|5|2.3|10,000,000|1|> 95%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|8|7.0|2,500,000|1|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|5|1.7|2,500,000|0|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|10|6.3|10,000,000|2|> 95%
BAYERISCHE LANDESBANK|EUROPE|Y|2|0.7|2,500,000|0|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE|Y|10|8.0|22,500,000|4|> 95%
BEAM SUNTORY INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
BEAZER HOMES USA, INC.|AMERICAS|Y|7|4.3|7,500,000|3|< 5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|7|4.7|10,000,000|2|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE|Y|5|2.0|2,500,000|0|> 95%
BEST BUY CO., INC.|AMERICAS|Y|3|1.0|5,000,000|1|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ|Y|6|3.0|7,500,000|0|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
BNP PARIBAS|EUROPE|Y|10|8.0|17,500,000|2|> 95%
BOMBARDIER INC.|AMERICAS|Y|7|4.7|12,500,000|4|< 5%
BOPARAN FINANCE PLC|EUROPE|Y|7|6.0|2,500,000|1|> 95%
BORGWARNER INC.|AMERICAS||3|1.0|2,500,000|0|25-75%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS||1|0.3|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|5|2.3|5,000,000|1|5-25%
BOUYGUES|EUROPE|Y|7|3.7|5,000,000|1|> 95%
BOYD GAMING CORPORATION|AMERICAS|Y|7|6.0|2,500,000|1|< 5%
BP P.L.C.|EUROPE|Y|10|5.7|12,500,000|1|> 95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|8|3.3|5,000,000|1|5-25%
BRITISH AIRWAYS PLC|EUROPE|Y|0|0.0|2,500,000|0|> 95%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE|Y|11|6.3|7,500,000|1|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE|Y|11|7.0|12,500,000|3|> 95%
BRUNSWICK CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
BURLINGTON NORTHERN SANTA FE, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
CA, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CABLE & WIRELESS LIMITED|EUROPE|Y|2|0.7|2,500,000|0|> 95%
CAIXA GERAL DE DEPOSITOS S.A.|EUROPE||0|0.0|2,500,000|0|> 95%
CAIXABANK, S.A.|EUROPE||0|0.0|2,500,000|0|> 95%
CALIFORNIA RESOURCES CORPORATION|AMERICAS|Y|8|6.7|2,500,000|1|< 5%
CALPINE CORPORATION|AMERICAS|Y|8|4.0|5,000,000|1|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|5|2.7|7,500,000|1|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|6|3.3|5,000,000|1|5-25%
CAPGEMINI|EUROPE||2|0.7|2,500,000|0|> 95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|3|1.3|2,500,000|0|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CAPITALAND LIMITED|ASIA EX-JAPAN|Y|8|5.0|2,500,000|0|> 95%
CARDINAL HEALTH, INC.|AMERICAS|Y|8|5.3|17,500,000|5|< 5%
CARE UK HEALTH & SOCIAL CARE LIMITED|EUROPE||0|0.0|2,500,000|0|> 95%
CARLSBERG BREWERIES A/S|EUROPE|Y|4|1.7|5,000,000|1|> 95%
CARNIVAL CORPORATION|AMERICAS|Y|3|2.3|5,000,000|1|< 5%
